file_name,match_type,data,teamA,teamB,who_played_first,who_played_second,neutral_venue,city,home_ground_of_team,venue,winner,winner_by_runs,winner_by_wickets,toss_winner,toss_winner_decided_to,umpire_1,umpire_2,player_of_match
2008-08-25_ODIIreKen.yaml,ODI,2008-08-25,Ireland,Kenya,Ireland,Kenya,no,Belfast,Ireland,Civil Service Cricket Club- Stormont,no result,NA,NA,Kenya,field,PJ Hartley,IN Ramage,NA
2008-08-26_ODIEngSou.yaml,ODI,2008-08-26,England,South Africa,South Africa,England,no,Nottingham,England,Trent Bridge,England,NA,10,South Africa,bat,MR Benson,SJA Taufel,SCJ Broad
2008-08-27_ODISriInd.yaml,ODI,2008-08-27,Sri Lanka,India,India,Sri Lanka,no,Colombo,Sri Lanka,R Premadasa Stadium,India,46,NA,India,bat,BR Doctrove,MG Silva,SK Raina
2008-08-29_ODIEngSou.yaml,ODI,2008-08-29,England,South Africa,England,South Africa,no,London,England,Kennington Oval,England,126,NA,South Africa,field,NJ Llong,SJA Taufel,SR Patel
2008-08-29_ODISriInd.yaml,ODI,2008-08-29,Sri Lanka,India,Sri Lanka,India,no,Colombo,Sri Lanka,R Premadasa Stadium,Sri Lanka,112,NA,Sri Lanka,bat,BR Doctrove,TH Wijewardene,KMDN Kulasekara
2008-08-30_ODIAusBan.yaml,ODI,2008-08-30,Australia,Bangladesh,Australia,Bangladesh,no,Darwin,Australia,Marrara Cricket Ground,Australia,180,NA,Bangladesh,field,PD Parker,AM Saheba,MEK Hussey
2008-08-31_ODIEngSou.yaml,ODI,2008-08-31,England,South Africa,South Africa,England,no,London,England,Lord's,England,NA,7,England,field,MR Benson,SJA Taufel,A Flintoff
2008-09-03_ODIAusBan.yaml,ODI,2008-09-03,Australia,Bangladesh,Bangladesh,Australia,no,Darwin,Australia,Marrara Cricket Ground,Australia,NA,8,Bangladesh,bat,BNJ Oxenford,AM Saheba,SE Marsh
2008-09-03_ODIEngSou.yaml,ODI,2008-09-03,England,South Africa,South Africa,England,no,Cardiff,England,Sophia Gardens,no result,NA,NA,England,field,NJ Llong,SJA Taufel,NA
2008-09-06_ODIAusBan.yaml,ODI,2008-09-06,Australia,Bangladesh,Australia,Bangladesh,no,Darwin,Australia,Marrara Cricket Ground,Australia,73,NA,Australia,bat,PD Parker,AM Saheba,Tamim Iqbal
2008-10-17_ODIIreZim.yaml,ODI,2008-10-17,Ireland,Zimbabwe,Zimbabwe,Ireland,yes,Nairobi,none,Gymkhana Club Ground,Zimbabwe,156,NA,Zimbabwe,bat,M Erasmus,RB Tiffin,NA
2008-10-31_ODISouKen.yaml,ODI,2008-10-31,South Africa,Kenya,South Africa,Kenya,no,Bloemfontein,South Africa,OUTsurance Oval,South Africa,159,NA,South Africa,bat,M Erasmus,NJ Llong,JP Duminy
2008-11-07_ODISouBan.yaml,ODI,2008-11-07,South Africa,Bangladesh,South Africa,Bangladesh,no,Potchefstroom,South Africa,Senwes Park,South Africa,61,NA,South Africa,bat,M Erasmus,NJ Llong,DW Steyn
2008-11-12_ODIPakWes.yaml,ODI,2008-11-12,Pakistan,West Indies,West Indies,Pakistan,yes,Abu Dhabi,none,Sheikh Zayed Stadium,Pakistan,NA,4,West Indies,bat,MR Benson,SJ Davis,CH Gayle
2008-11-14_ODIIndEng.yaml,ODI,2008-11-14,India,England,India,England,no,Rajkot,India,Madhavrao Scindia Cricket Ground,India,158,NA,England,field,AM Saheba,RB Tiffin,Yuvraj Singh
2008-11-14_ODIPakWes.yaml,ODI,2008-11-14,Pakistan,West Indies,Pakistan,West Indies,yes,Abu Dhabi,none,Sheikh Zayed Stadium,Pakistan,24,NA,Pakistan,bat,SJ Davis,DJ Harper,Sohail Tanvir
2008-11-17_ODIIndEng.yaml,ODI,2008-11-17,India,England,India,England,no,Indore,India,Maharani Usharaje Trust Cricket Ground,India,54,NA,India,bat,AM Saheba,RB Tiffin,Yuvraj Singh
2008-11-20_ODIIndEng.yaml,ODI,2008-11-20,India,England,England,India,no,Kanpur,India,Green Park,India,16,NA,England,bat,AM Saheba,RB Tiffin,Harbhajan Singh
2008-11-20_ODIZimSri.yaml,ODI,2008-11-20,Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,no,NA,Zimbabwe,Harare Sports Club,Sri Lanka,NA,6,Sri Lanka,field,Aleem Dar,KC Barbour,M Muralitharan
2008-11-22_ODIZimSri.yaml,ODI,2008-11-22,Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,no,NA,Zimbabwe,Harare Sports Club,Sri Lanka,NA,9,Zimbabwe,bat,Aleem Dar,KC Barbour,BAW Mendis
2008-11-23_ODIIndEng.yaml,ODI,2008-11-23,India,England,India,England,no,Bangalore,India,M Chinnaswamy Stadium,India,19,NA,England,field,DJ Harper,AM Saheba,V Sehwag
2008-11-24_ODIZimSri.yaml,ODI,2008-11-24,Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,no,NA,Zimbabwe,Harare Sports Club,Sri Lanka,5,NA,Zimbabwe,field,Aleem Dar,RB Tiffin,H Masakadza
2008-11-26_ODIIndEng.yaml,ODI,2008-11-26,India,England,England,India,no,Cuttack,India,Barabati Stadium,India,NA,6,India,field,DJ Harper,AM Saheba,V Sehwag
2008-11-30_ODIZimSri.yaml,ODI,2008-11-30,Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,no,NA,Zimbabwe,Harare Sports Club,Sri Lanka,19,NA,Zimbabwe,field,KC Barbour,RB Tiffin,M Muralitharan
2008-12-31_ODINewWes.yaml,ODI,2008-12-31,New Zealand,West Indies,West Indies,New Zealand,no,NA,New Zealand,Queenstown Events Centre,no result,NA,NA,New Zealand,field,MR Benson,AL Hill,NA
2009-01-07_ODINewWes.yaml,ODI,2009-01-07,New Zealand,West Indies,West Indies,New Zealand,no,Wellington,New Zealand,Westpac Stadium,New Zealand,NA,7,New Zealand,field,MR Benson,AL Hill,DL Vettori
2009-01-10_ODIBanZim.yaml,ODI,2009-01-10,Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,no,Mirpur,Bangladesh,Shere Bangla National Stadium,Zimbabwe,38,NA,Bangladesh,field,BR Doctrove,Nadir Shah,E Chigumbura
2009-01-14_ODIBanSri.yaml,ODI,2009-01-14,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,no,Mirpur,Bangladesh,Shere Bangla National Stadium,Bangladesh,NA,5,Bangladesh,field,BR Doctrove,Nadir Shah,Shakib Al Hasan
2009-01-16_ODIAusSou.yaml,ODI,2009-01-16,Australia,South Africa,Australia,South Africa,no,NA,Australia,Melbourne Cricket Ground,South Africa,NA,3,Australia,bat,IJ Gould,BNJ Oxenford,JA Morkel
2009-01-18_ODIAusSou.yaml,ODI,2009-01-18,Australia,South Africa,Australia,South Africa,no,Hobart,Australia,Bellerive Oval,Australia,5,NA,South Africa,field,IJ Gould,RJ Tucker,SE Marsh
2009-01-20_ODIPakSri.yaml,ODI,2009-01-20,Pakistan,Sri Lanka,Sri Lanka,Pakistan,no,Karachi,Pakistan,National Stadium,Pakistan,NA,8,Sri Lanka,bat,NJ Llong,Nadeem Ghauri,Salman Butt
2009-01-21_ODIPakSri.yaml,ODI,2009-01-21,Pakistan,Sri Lanka,Sri Lanka,Pakistan,no,Karachi,Pakistan,National Stadium,Sri Lanka,129,NA,Pakistan,field,Asad Rauf,NJ Llong,TM Dilshan
2009-01-23_ODIAusSou.yaml,ODI,2009-01-23,Australia,South Africa,Australia,South Africa,no,NA,Australia,Sydney Cricket Ground,South Africa,NA,3,Australia,bat,IJ Gould,RJ Tucker,JA Morkel
2009-01-23_ODIBanZim.yaml,ODI,2009-01-23,Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,no,Mirpur,Bangladesh,Shere Bangla National Stadium,Bangladesh,NA,6,Bangladesh,field,Enamul Haque,Zameer Haider,Mashrafe Mortaza
2009-01-24_ODIPakSri.yaml,ODI,2009-01-24,Pakistan,Sri Lanka,Sri Lanka,Pakistan,no,Lahore,Pakistan,Gaddafi Stadium,Sri Lanka,234,NA,Sri Lanka,bat,Asad Rauf,NJ Llong,TM Dilshan
2009-01-26_ODIAusSou.yaml,ODI,2009-01-26,Australia,South Africa,Australia,South Africa,no,NA,Australia,Adelaide Oval,South Africa,NA,8,Australia,bat,IJ Gould,DJ Harper,AB de Villiers
2009-01-28_ODISriInd.yaml,ODI,2009-01-28,Sri Lanka,India,Sri Lanka,India,no,NA,Sri Lanka,Rangiri Dambulla International Stadium,India,NA,6,India,field,HDPK Dharmasena,BG Jerling,ST Jayasuriya
2009-01-30_ODIAusSou.yaml,ODI,2009-01-30,Australia,South Africa,South Africa,Australia,no,Perth,Australia,Western Australia Cricket Association Ground,South Africa,39,NA,South Africa,bat,IJ Gould,BNJ Oxenford,HM Amla
2009-01-31_ODIKenZim.yaml,ODI,2009-01-31,Kenya,Zimbabwe,Kenya,Zimbabwe,no,Nairobi,Kenya,Gymkhana Club Ground,Zimbabwe,NA,4,Kenya,bat,SR Modi,TH Wijewardene,NA
2009-01-31_ODISriInd.yaml,ODI,2009-01-31,Sri Lanka,India,India,Sri Lanka,no,Colombo,Sri Lanka,R Premadasa Stadium,India,15,NA,India,bat,BG Jerling,MG Silva,I Sharma
2009-02-01_ODIAusNew.yaml,ODI,2009-02-01,Australia,New Zealand,Australia,New Zealand,no,Perth,Australia,Western Australia Cricket Association Ground,New Zealand,NA,2,Australia,bat,SA Bucknor,BNJ Oxenford,KD Mills
2009-02-03_ODISriInd.yaml,ODI,2009-02-03,Sri Lanka,India,India,Sri Lanka,no,Colombo,Sri Lanka,R Premadasa Stadium,India,147,NA,India,bat,BG Jerling,MG Silva,Yuvraj Singh
2009-02-05_ODISriInd.yaml,ODI,2009-02-05,Sri Lanka,India,India,Sri Lanka,no,Colombo,Sri Lanka,R Premadasa Stadium,India,67,NA,India,bat,HDPK Dharmasena,BG Jerling,G Gambhir
2009-02-06_ODIAusNew.yaml,ODI,2009-02-06,Australia,New Zealand,Australia,New Zealand,no,NA,Australia,Melbourne Cricket Ground,New Zealand,NA,6,New Zealand,field,SA Bucknor,PR Reiffel,MJ Clarke
2009-02-08_ODIAusNew.yaml,ODI,2009-02-08,Australia,New Zealand,Australia,New Zealand,no,NA,Australia,Sydney Cricket Ground,Australia,32,NA,New Zealand,field,SA Bucknor,SJA Taufel,BJ Haddin
2009-02-08_ODISriInd.yaml,ODI,2009-02-08,Sri Lanka,India,Sri Lanka,India,no,Colombo,Sri Lanka,R Premadasa Stadium,Sri Lanka,68,NA,Sri Lanka,bat,BG Jerling,TH Wijewardene,KC Sangakkara
2009-02-10_ODIAusNew.yaml,ODI,2009-02-10,Australia,New Zealand,New Zealand,Australia,no,NA,Australia,Adelaide Oval,Australia,NA,6,New Zealand,bat,SA Bucknor,SJ Davis,DJ Hussey
2009-02-13_ODIAusNew.yaml,ODI,2009-02-13,Australia,New Zealand,Australia,New Zealand,no,Brisbane,Australia,Brisbane Cricket Ground- Woolloongabba,no result,NA,NA,New Zealand,field,SA Bucknor,RJ Tucker,NA
2009-03-03_ODINewInd.yaml,ODI,2009-03-03,New Zealand,India,India,New Zealand,no,Napier,New Zealand,McLean Park,India,53,NA,India,bat,AL Hill,RE Koertzen,MS Dhoni
2009-03-06_ODINewInd.yaml,ODI,2009-03-06,New Zealand,India,India,New Zealand,no,Wellington,New Zealand,Westpac Stadium,no result,NA,NA,India,bat,RE Koertzen,EA Watkin,NA
2009-03-08_ODINewInd.yaml,ODI,2009-03-08,New Zealand,India,India,New Zealand,no,Christchurch,New Zealand,AMI Stadium,India,58,NA,New Zealand,field,GAV Baxter,RE Koertzen,SR Tendulkar
2009-03-11_ODINewInd.yaml,ODI,2009-03-11,New Zealand,India,New Zealand,India,no,Hamilton,none,Seddon Park,India,84,NA,New Zealand,bat,GAV Baxter,RE Koertzen,V Sehwag
2009-03-14_ODINewInd.yaml,ODI,2009-03-14,New Zealand,India,India,New Zealand,no,Auckland,New Zealand,Eden Park,New Zealand,NA,8,India,bat,GAV Baxter,RE Koertzen,JD Ryder
2009-03-20_ODIWesEng.yaml,ODI,2009-03-20,West Indies,England,England,West Indies,no,Guyana,West Indies,Providence Stadium,England,1,NA,England,bat,Aleem Dar,CR Duncan,PD Collingwood
2009-03-22_ODIWesEng.yaml,ODI,2009-03-22,West Indies,England,West Indies,England,no,Guyana,West Indies,Providence Stadium,West Indies,21,NA,West Indies,bat,Aleem Dar,CR Duncan,S Chanderpaul
2009-03-27_ODIWesEng.yaml,ODI,2009-03-27,West Indies,England,England,West Indies,no,Barbados,West Indies,Kensington Oval- Bridgetown,West Indies,NA,8,West Indies,field,SA Bucknor,SJ Davis,DJ Bravo
2009-03-29_ODIWesEng.yaml,ODI,2009-03-29,West Indies,England,West Indies,England,no,Barbados,West Indies,Kensington Oval- Bridgetown,England,NA,9,England,field,SA Bucknor,SJ Davis,AJ Strauss
2009-04-01_ODIIreSco.yaml,ODI,2009-04-01,Ireland,Scotland,Scotland,Ireland,yes,Benoni,none,Willowmoore Park,Ireland,NA,7,Ireland,field,M Erasmus,AM Saheba,WTS Porterfield
2009-04-03_ODISouAus.yaml,ODI,2009-04-03,South Africa,Australia,Australia,South Africa,no,Durban,South Africa,Kingsmead,Australia,141,NA,Australia,bat,EAR de Silva,RE Koertzen,MEK Hussey
2009-04-03_ODIWesEng.yaml,ODI,2009-04-03,West Indies,England,England,West Indies,no,St Lucia,West Indies,Beausejour Stadium- Gros Islet,England,26,NA,West Indies,field,SJ Davis,NA Malcolm,A Flintoff
2009-04-05_ODISouAus.yaml,ODI,2009-04-05,South Africa,Australia,Australia,South Africa,no,Centurion,South Africa,SuperSport Park,South Africa,NA,7,Australia,bat,EAR de Silva,BG Jerling,WD Parnell
2009-04-08_ODICanSco.yaml,ODI,2009-04-08,Canada,Scotland,Canada,Scotland,yes,Benoni,none,Willowmoore Park,Canada,148,NA,Scotland,field,M Erasmus,RJ Tucker,A Bagai
2009-04-09_ODISouAus.yaml,ODI,2009-04-09,South Africa,Australia,South Africa,Australia,no,Cape Town,South Africa,Newlands,South Africa,25,NA,South Africa,bat,EAR de Silva,RE Koertzen,JH Kallis
2009-04-13_ODISouAus.yaml,ODI,2009-04-13,South Africa,Australia,South Africa,Australia,no,Port Elizabeth,South Africa,St George's Park,South Africa,61,NA,Australia,field,EAR de Silva,BG Jerling,HH Gibbs
2009-04-17_ODISouAus.yaml,ODI,2009-04-17,South Africa,Australia,Australia,South Africa,no,Johannesburg,South Africa,New Wanderers Stadium,Australia,47,NA,South Africa,field,EAR de Silva,RE Koertzen,NM Hauritz
2009-04-19_ODIAfgSco.yaml,ODI,2009-04-19,Afghanistan,Scotland,Afghanistan,Scotland,yes,Benoni,none,Willowmoore Park,Afghanistan,89,NA,Afghanistan,bat,GAV Baxter,Enamul Haque,Mohammad Nabi
2009-04-22_ODIAusPak.yaml,ODI,2009-04-22,Australia,Pakistan,Australia,Pakistan,yes,NA,none,Dubai Sports City Cricket Stadium,Pakistan,NA,4,Australia,bat,BF Bowden,Nadeem Ghauri,Shahid Afridi
2009-04-24_ODIAusPak.yaml,ODI,2009-04-24,Australia,Pakistan,Pakistan,Australia,yes,NA,none,Dubai Sports City Cricket Stadium,Australia,NA,6,Pakistan,bat,Asad Rauf,BF Bowden,A Symonds
2009-04-27_ODIAusPak.yaml,ODI,2009-04-27,Australia,Pakistan,Australia,Pakistan,yes,Abu Dhabi,none,Sheikh Zayed Stadium,Australia,27,NA,Australia,bat,Asad Rauf,BF Bowden,MJ Clarke
2009-05-01_ODIAusPak.yaml,ODI,2009-05-01,Australia,Pakistan,Pakistan,Australia,yes,Abu Dhabi,none,Sheikh Zayed Stadium,Australia,NA,8,Pakistan,bat,Aleem Dar,BF Bowden,DE Bollinger
2009-05-03_ODIAusPak.yaml,ODI,2009-05-03,Australia,Pakistan,Australia,Pakistan,yes,Abu Dhabi,none,Sheikh Zayed Stadium,Pakistan,NA,7,Australia,bat,Aleem Dar,BF Bowden,Kamran Akmal
2009-05-24_ODIEngWes.yaml,ODI,2009-05-24,England,West Indies,West Indies,England,no,Bristol,England,County Ground,England,NA,6,England,field,EAR de Silva,PJ Hartley,PD Collingwood
2009-05-26_ODIEngWes.yaml,ODI,2009-05-26,England,West Indies,England,West Indies,no,Birmingham,England,Edgbaston,England,58,NA,West Indies,field,SJ Davis,IJ Gould,MJ Prior
2009-06-26_ODIWesInd.yaml,ODI,2009-06-26,West Indies,India,India,West Indies,no,Jamaica,West Indies,Sabina Park- Kingston,India,20,NA,India,bat,NJ Llong,NA Malcolm,Yuvraj Singh
2009-06-28_ODIWesInd.yaml,ODI,2009-06-28,West Indies,India,India,West Indies,no,Jamaica,West Indies,Sabina Park- Kingston,West Indies,NA,8,India,bat,NJ Llong,NA Malcolm,R Rampaul
2009-07-03_ODIWesInd.yaml,ODI,2009-07-03,West Indies,India,West Indies,India,no,St Lucia,West Indies,Beausejour Stadium- Gros Islet,India,NA,6,India,field,CR Duncan,NJ Llong,MS Dhoni
2009-07-05_ODIWesInd.yaml,ODI,2009-07-05,West Indies,India,West Indies,India,no,St Lucia,West Indies,Beausejour Stadium- Gros Islet,no result,NA,NA,India,field,CR Duncan,NJ Llong,NA
2009-07-26_ODIWesBan.yaml,ODI,2009-07-26,West Indies,Bangladesh,Bangladesh,West Indies,no,Dominica,West Indies,Windsor Park- Roseau,Bangladesh,52,NA,West Indies,field,BR Doctrove,AL Hill,Abdur Razzak
2009-07-28_ODIWesBan.yaml,ODI,2009-07-28,West Indies,Bangladesh,West Indies,Bangladesh,no,Dominica,West Indies,Windsor Park- Roseau,Bangladesh,NA,3,West Indies,bat,BR Doctrove,AL Hill,Shakib Al Hasan
2009-07-30_ODISriPak.yaml,ODI,2009-07-30,Sri Lanka,Pakistan,Sri Lanka,Pakistan,no,NA,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,36,NA,Pakistan,field,SJ Davis,EAR de Silva,M Muralitharan
2009-07-31_ODIWesBan.yaml,ODI,2009-07-31,West Indies,Bangladesh,West Indies,Bangladesh,no,St Kitts,West Indies,Warner Park- Basseterre,Bangladesh,NA,3,West Indies,bat,CR Duncan,AL Hill,Mahmudullah
2009-08-01_ODISriPak.yaml,ODI,2009-08-01,Sri Lanka,Pakistan,Pakistan,Sri Lanka,no,NA,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,NA,6,Sri Lanka,field,SJ Davis,HDPK Dharmasena,CK Kapugedera
2009-08-03_ODISriPak.yaml,ODI,2009-08-03,Sri Lanka,Pakistan,Pakistan,Sri Lanka,no,NA,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,NA,6,Sri Lanka,field,SJ Davis,EAR de Silva,DPMD Jayawardene
2009-08-07_ODISriPak.yaml,ODI,2009-08-07,Sri Lanka,Pakistan,Pakistan,Sri Lanka,no,Colombo,Sri Lanka,R Premadasa Stadium,Pakistan,146,NA,Pakistan,bat,SJ Davis,MG Silva,Umar Akmal
2009-08-09_ODISriPak.yaml,ODI,2009-08-09,Sri Lanka,Pakistan,Pakistan,Sri Lanka,no,Colombo,Sri Lanka,R Premadasa Stadium,Pakistan,132,NA,Pakistan,bat,SJ Davis,MG Silva,Naved-ul-Hasan
2009-08-09_ODIZimBan.yaml,ODI,2009-08-09,Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,no,Bulawayo,Zimbabwe,Queens Sports Club,Bangladesh,NA,8,Bangladesh,field,AM Saheba,RB Tiffin,Mohammad Ashraful
2009-08-11_ODIZimBan.yaml,ODI,2009-08-11,Zimbabwe,Bangladesh,Bangladesh,Zimbabwe,no,Bulawayo,Zimbabwe,Queens Sports Club,Bangladesh,49,NA,Zimbabwe,field,AM Saheba,RB Tiffin,Shakib Al Hasan
2009-08-14_ODIZimBan.yaml,ODI,2009-08-14,Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,no,Bulawayo,Zimbabwe,Queens Sports Club,Zimbabwe,69,NA,Bangladesh,field,AM Saheba,RB Tiffin,E Chigumbura
2009-08-16_ODIZimBan.yaml,ODI,2009-08-16,Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,no,Bulawayo,Zimbabwe,Queens Sports Club,Bangladesh,NA,4,Zimbabwe,bat,KC Barbour,AM Saheba,CK Coventry
2009-08-18_ODIZimBan.yaml,ODI,2009-08-18,Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,no,Bulawayo,Zimbabwe,Queens Sports Club,Bangladesh,NA,5,Zimbabwe,bat,KC Barbour,AM Saheba,Dolar Mahmud
2009-08-19_ODICanKen.yaml,ODI,2009-08-19,Canada,Kenya,Kenya,Canada,no,Toronto,Canada,Maple Leaf North-West Ground,Canada,NA,9,Canada,field,K Bayney,NA Malcolm,Khurram Chohan
2009-08-27_ODIIreEng.yaml,ODI,2009-08-27,Ireland,England,England,Ireland,no,Belfast,Ireland,Civil Service Cricket Club- Stormont,England,3,NA,England,bat,Asad Rauf,PK Baldwin,DT Johnston
2009-09-04_ODIEngAus.yaml,ODI,2009-09-04,England,Australia,Australia,England,no,London,England,Kennington Oval,Australia,4,NA,England,field,AL Hill,NJ Llong,CJ Ferguson
2009-09-06_ODIEngAus.yaml,ODI,2009-09-06,England,Australia,Australia,England,no,London,England,Lord's,Australia,39,NA,England,field,IJ Gould,AL Hill,MG Johnson
2009-09-08_ODISriNew.yaml,ODI,2009-09-08,Sri Lanka,New Zealand,Sri Lanka,New Zealand,no,Colombo,Sri Lanka,R Premadasa Stadium,Sri Lanka,97,NA,Sri Lanka,bat,EAR de Silva,BR Doctrove,TT Samaraweera
2009-09-09_ODIEngAus.yaml,ODI,2009-09-09,England,Australia,England,Australia,no,Southampton,England,The Rose Bowl,Australia,NA,6,England,bat,PJ Hartley,AL Hill,CL White
2009-09-11_ODIIndNew.yaml,ODI,2009-09-11,India,New Zealand,New Zealand,India,yes,Colombo,none,R Premadasa Stadium,India,NA,6,New Zealand,bat,HDPK Dharmasena,BR Doctrove,A Nehra
2009-09-12_ODIEngAus.yaml,ODI,2009-09-12,England,Australia,England,Australia,no,London,England,Lord's,Australia,NA,7,England,bat,Asad Rauf,NJ Llong,B Lee
2009-09-12_ODISriInd.yaml,ODI,2009-09-12,Sri Lanka,India,Sri Lanka,India,no,Colombo,Sri Lanka,R Premadasa Stadium,Sri Lanka,139,NA,Sri Lanka,bat,HDPK Dharmasena,BR Doctrove,AD Mathews
2009-09-14_ODISriInd.yaml,ODI,2009-09-14,Sri Lanka,India,India,Sri Lanka,no,Colombo,Sri Lanka,R Premadasa Stadium,India,46,NA,India,bat,EAR de Silva,BR Doctrove,SR Tendulkar
2009-09-15_ODIEngAus.yaml,ODI,2009-09-15,England,Australia,England,Australia,no,Nottingham,England,Trent Bridge,Australia,NA,4,England,bat,Asad Rauf,RA Kettleborough,RT Ponting
2009-09-17_ODIEngAus.yaml,ODI,2009-09-17,England,Australia,Australia,England,no,Nottingham,England,Trent Bridge,Australia,111,NA,Australia,bat,Asad Rauf,NJ Llong,TD Paine
2009-09-20_ODIEngAus.yaml,ODI,2009-09-20,England,Australia,Australia,England,no,Chester-le-Street,England,Riverside Ground,England,NA,4,England,field,Asad Rauf,NJ Llong,GP Swann
2009-09-22_ODISouSri.yaml,ODI,2009-09-22,South Africa,Sri Lanka,Sri Lanka,South Africa,no,Centurion,South Africa,SuperSport Park,Sri Lanka,55,NA,South Africa,field,IJ Gould,SJA Taufel,TM Dilshan
2009-09-23_ODIPakWes.yaml,ODI,2009-09-23,Pakistan,West Indies,West Indies,Pakistan,yes,Johannesburg,none,New Wanderers Stadium,Pakistan,NA,5,West Indies,bat,SJ Davis,DJ Harper,Umar Akmal
2009-09-24_ODISouNew.yaml,ODI,2009-09-24,South Africa,New Zealand,New Zealand,South Africa,no,Centurion,South Africa,SuperSport Park,South Africa,NA,5,South Africa,field,Aleem Dar,Asad Rauf,WD Parnell
2009-09-25_ODIEngSri.yaml,ODI,2009-09-25,England,Sri Lanka,Sri Lanka,England,yes,Johannesburg,none,New Wanderers Stadium,England,NA,6,England,field,Aleem Dar,BF Bowden,PD Collingwood
2009-09-26_ODIAusWes.yaml,ODI,2009-09-26,Australia,West Indies,Australia,West Indies,yes,Johannesburg,none,New Wanderers Stadium,Australia,50,NA,West Indies,field,Asad Rauf,AL Hill,MG Johnson
2009-09-26_ODIIndPak.yaml,ODI,2009-09-26,India,Pakistan,Pakistan,India,yes,Centurion,none,SuperSport Park,Pakistan,54,NA,Pakistan,bat,SJ Davis,SJA Taufel,Shoaib Malik
2009-09-27_ODINewSri.yaml,ODI,2009-09-27,New Zealand,Sri Lanka,New Zealand,Sri Lanka,yes,Johannesburg,none,New Wanderers Stadium,New Zealand,38,NA,Sri Lanka,field,IJ Gould,DJ Harper,DL Vettori
2009-09-27_ODISouEng.yaml,ODI,2009-09-27,South Africa,England,England,South Africa,no,Centurion,South Africa,SuperSport Park,England,22,NA,England,bat,SJ Davis,AL Hill,OA Shah
2009-09-28_ODIAusInd.yaml,ODI,2009-09-28,Australia,India,Australia,India,yes,Centurion,none,SuperSport Park,no result,NA,NA,Australia,bat,BF Bowden,IJ Gould,NA
2009-09-29_ODIEngNew.yaml,ODI,2009-09-29,England,New Zealand,England,New Zealand,yes,Johannesburg,none,New Wanderers Stadium,New Zealand,NA,4,New Zealand,field,Asad Rauf,DJ Harper,GD Elliott
2009-09-30_ODIAusPak.yaml,ODI,2009-09-30,Australia,Pakistan,Pakistan,Australia,yes,Centurion,none,SuperSport Park,Australia,NA,2,Australia,field,BF Bowden,AL Hill,MEK Hussey
2009-09-30_ODIIndWes.yaml,ODI,2009-09-30,India,West Indies,West Indies,India,yes,Johannesburg,none,New Wanderers Stadium,India,NA,7,India,field,Aleem Dar,SJA Taufel,V Kohli
2009-10-02_ODIAusEng.yaml,ODI,2009-10-02,Australia,England,England,Australia,yes,Centurion,none,SuperSport Park,Australia,NA,9,England,bat,Aleem Dar,BF Bowden,SR Watson
2009-10-03_ODINewPak.yaml,ODI,2009-10-03,New Zealand,Pakistan,Pakistan,New Zealand,yes,Johannesburg,none,New Wanderers Stadium,New Zealand,NA,5,Pakistan,bat,IJ Gould,SJA Taufel,DL Vettori
2009-10-05_ODIAusNew.yaml,ODI,2009-10-05,Australia,New Zealand,New Zealand,Australia,yes,Centurion,none,SuperSport Park,Australia,NA,6,New Zealand,bat,Aleem Dar,IJ Gould,SR Watson
2009-10-25_ODIIndAus.yaml,ODI,2009-10-25,India,Australia,Australia,India,no,Vadodara,India,Reliance Stadium,Australia,4,NA,Australia,bat,AM Saheba,SK Tarapore,MEK Hussey
2009-10-27_ODIBanZim.yaml,ODI,2009-10-27,Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,no,Mirpur,Bangladesh,Shere Bangla National Stadium,Zimbabwe,NA,5,Zimbabwe,field,Aleem Dar,Nadir Shah,E Chigumbura
2009-10-28_ODIIndAus.yaml,ODI,2009-10-28,India,Australia,India,Australia,no,Nagpur,India,Vidarbha Cricket Association Stadium- Jamtha,India,99,NA,Australia,field,AM Saheba,SK Tarapore,MS Dhoni
2009-10-29_ODIBanZim.yaml,ODI,2009-10-29,Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,no,Mirpur,Bangladesh,Shere Bangla National Stadium,Bangladesh,NA,7,Zimbabwe,bat,Aleem Dar,Enamul Haque,Abdur Razzak
2009-10-31_ODIBanZim.yaml,ODI,2009-10-31,Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,no,Mirpur,Bangladesh,Shere Bangla National Stadium,Bangladesh,NA,4,Bangladesh,field,Aleem Dar,Nadir Shah,Tamim Iqbal
