file_name,match_type,data,teamA,teamB,who_played_first,who_played_second,neutral_venue,city,home_ground_of_team,venue,winner,winner_by_runs,winner_by_wickets,toss_winner,toss_winner_decided_to,umpire_1,umpire_2,player_of_match
2008-06-25_ODIEngNew.yaml,ODI,2008-06-25,England,New Zealand,England,New Zealand,no,London,England,Kennington Oval,New Zealand,NA,1,New Zealand,field,MR Benson,SJ Davis,SB Styris
2008-06-25_ODIHonInd.yaml,ODI,2008-06-25,Hong Kong,India,India,Hong Kong,yes,Karachi,none,National Stadium,India,256,NA,India,bat,AL Hill,BG Jerling,SK Raina
2008-06-26_ODIPakInd.yaml,ODI,2008-06-26,Pakistan,India,Pakistan,India,no,Karachi,Pakistan,National Stadium,India,NA,6,Pakistan,bat,AL Hill,BG Jerling,SK Raina
2008-06-26_ODISriUni.yaml,ODI,2008-06-26,Sri Lanka,United Arab Emirates,Sri Lanka,United Arab Emirates,yes,Lahore,none,Gaddafi Stadium,Sri Lanka,142,NA,Sri Lanka,bat,IJ Gould,SJA Taufel,BAW Mendis
2008-06-27_ODIWesAus.yaml,ODI,2008-06-27,West Indies,Australia,Australia,West Indies,no,Grenada,West Indies,National Cricket Stadium- St George's,Australia,63,NA,Australia,bat,Asad Rauf,NA Malcolm,MJ Clarke
2008-06-28_ODIBanInd.yaml,ODI,2008-06-28,Bangladesh,India,Bangladesh,India,yes,Karachi,none,National Stadium,India,NA,7,Bangladesh,bat,BG Jerling,SJA Taufel,SK Raina
2008-06-28_ODIEngNew.yaml,ODI,2008-06-28,England,New Zealand,New Zealand,England,no,London,England,Lord's,New Zealand,51,NA,England,field,SJ Davis,NJ Llong,SB Styris
2008-06-29_ODICanBer.yaml,ODI,2008-06-29,Canada,Bermuda,Bermuda,Canada,no,King City,Canada,Maple Leaf North-West Ground,Bermuda,11,NA,Canada,field,GAV Baxter,R Dill,S Dhaniram
2008-06-29_ODIPakSri.yaml,ODI,2008-06-29,Pakistan,Sri Lanka,Sri Lanka,Pakistan,no,Karachi,Pakistan,National Stadium,Sri Lanka,64,NA,Pakistan,field,IJ Gould,AL Hill,KC Sangakkara
2008-06-29_ODIWesAus.yaml,ODI,2008-06-29,West Indies,Australia,West Indies,Australia,no,Grenada,West Indies,National Cricket Stadium- St George's,Australia,NA,7,Australia,field,Asad Rauf,NA Malcolm,SR Watson
